order,module,suite_file,test_case_id,test_case_name,type,tags,is_datadriven,datadriven_file
20,Sanity,tests/sanity_tests.robot,TC_SANITY_008,Customer Dashboard Page Loads,positive,sanity|TC_SANITY_008,no,
21,Sanity,tests/sanity_tests.robot,TC_SANITY_009,Account Plan Page Loads With Grid,positive,sanity|TC_SANITY_009,no,
22,Sanity,tests/sanity_tests.robot,TC_SANITY_010,Price Model Page Loads With Grid,positive,sanity|TC_SANITY_010,no,
23,Sanity,tests/sanity_tests.robot,TC_SANITY_011,Addon Plan Page Loads With Grid,positive,sanity|TC_SANITY_011,no,
24,Sanity,tests/sanity_tests.robot,TC_SANITY_012,Device Plan Page Loads With Grid,positive,sanity|TC_SANITY_012,no,
25,Sanity,tests/sanity_tests.robot,TC_SANITY_013,Zone Management Page Loads With Grid,positive,sanity|TC_SANITY_013,no,
26,Sanity,tests/sanity_tests.robot,TC_SANITY_014,Service Plan Page Loads With Grid,positive,sanity|TC_SANITY_014,no,
27,Sanity,tests/sanity_tests.robot,TC_SANITY_015,IP Whitelisting Page Loads With Grid,positive,sanity|TC_SANITY_015,no,
28,Sanity,tests/sanity_tests.robot,TC_SANITY_016,APN Page Loads With Grid,positive,sanity|TC_SANITY_016,no,
29,Sanity,tests/sanity_tests.robot,TC_SANITY_017,IP Pooling Page Loads With Grid,positive,sanity|TC_SANITY_017,no,
30,Sanity,tests/sanity_tests.robot,TC_SANITY_018,APN Request Page Loads With Grid,positive,sanity|TC_SANITY_018,no,
31,Sanity,tests/sanity_tests.robot,TC_SANITY_019,Report Page Loads With Grid,positive,sanity|TC_SANITY_019,no,
32,Sanity,tests/sanity_tests.robot,TC_SANITY_020,Report Subscriptions Page Loads With Grid,positive,sanity|TC_SANITY_020,no,
33,Sanity,tests/sanity_tests.robot,TC_SANITY_021,Report Packages Page Loads With Grid,positive,sanity|TC_SANITY_021,no,
34,Sanity,tests/sanity_tests.robot,TC_SANITY_022,Invoice Page Loads With BU Filter,positive,sanity|TC_SANITY_022,no,
35,Sanity,tests/sanity_tests.robot,TC_SANITY_023,Admin User Page Loads With Grid,positive,sanity|TC_SANITY_023,no,
36,Sanity,tests/sanity_tests.robot,TC_SANITY_024,Admin Api User Page Loads With Grid,positive,sanity|TC_SANITY_024,no,
37,Sanity,tests/sanity_tests.robot,TC_SANITY_025,Admin Account Page Loads With Grid,positive,sanity|TC_SANITY_025,no,
38,Sanity,tests/sanity_tests.robot,TC_SANITY_026,Admin Role And Access Page Loads With Grid,positive,sanity|TC_SANITY_026,no,
39,Sanity,tests/sanity_tests.robot,TC_SANITY_027,Admin WL Account Page Loads With Grid,positive,sanity|TC_SANITY_027,no,
40,Sanity,tests/sanity_tests.robot,TC_SANITY_028,Admin Upload Logo Page Loads,positive,sanity|TC_SANITY_028,no,
41,Sanity,tests/sanity_tests.robot,TC_SANITY_029,Admin SIM Range Page Loads With Grid,positive,sanity|TC_SANITY_029,no,
42,Sanity,tests/sanity_tests.robot,TC_SANITY_030,Admin SIM Product Type Page Loads With Grid,positive,sanity|TC_SANITY_030,no,
43,Sanity,tests/sanity_tests.robot,TC_SANITY_031,Admin SMSA Configuration Panel Page Loads With Grid,positive,sanity|TC_SANITY_031,no,
44,Sanity,tests/sanity_tests.robot,TC_SANITY_032,Admin Manage Label Page Loads With Grid,positive,sanity|TC_SANITY_032,no,
45,Sanity,tests/sanity_tests.robot,TC_SANITY_033,Admin CSR Journey Page Loads,positive,sanity|TC_SANITY_033,no,
46,Sanity,tests/sanity_tests.robot,TC_SANITY_034,Admin CSR Journey Penalties Page Loads,positive,sanity|TC_SANITY_034,no,
47,Sanity,tests/sanity_tests.robot,TC_SANITY_035,Admin Notification Template Page Loads With Grid,positive,sanity|TC_SANITY_035,no,
48,Sanity,tests/sanity_tests.robot,TC_SANITY_036,Admin LBS Restriction Page Loads With Grid,positive,sanity|TC_SANITY_036,no,
49,Sanity,tests/sanity_tests.robot,TC_SANITY_037,Admin Device Plan Requests Page Loads With Grid,positive,sanity|TC_SANITY_037,no,
50,Sanity,tests/sanity_tests.robot,TC_SANITY_038,Audit Trail Page Loads With Grid,positive,sanity|TC_SANITY_038,no,
51,Sanity,tests/sanity_tests.robot,TC_SANITY_039,API Transaction Log Page Loads With Grid,positive,sanity|TC_SANITY_039,no,
52,Sanity,tests/sanity_tests.robot,TC_SANITY_040,Rule Engine Log Page Loads With Grid,positive,sanity|TC_SANITY_040,no,
53,Sanity,tests/sanity_tests.robot,TC_SANITY_041,Batch Job Log Page Loads With Grid,positive,sanity|TC_SANITY_041,no,
54,Sanity,tests/sanity_tests.robot,TC_SANITY_042,Rule Engine Page Loads With Grid,positive,sanity|TC_SANITY_042,no,
55,Sanity,tests/sanity_tests.robot,TC_SANITY_043,Active Alerts Page Loads With Grid,positive,sanity|TC_SANITY_043,no,
56,Sanity,tests/sanity_tests.robot,TC_SANITY_044,Alerts History Page Loads With Grid,positive,sanity|TC_SANITY_044,no,
57,Sanity,tests/sanity_tests.robot,TC_SANITY_045,Live Order Page Loads With Grid,positive,sanity|TC_SANITY_045,no,
58,Sanity,tests/sanity_tests.robot,TC_SANITY_046,Order History Page Loads With Grid,positive,sanity|TC_SANITY_046,no,
59,Sanity,tests/sanity_tests.robot,TC_SANITY_047,Download Center Page Loads With Grid,positive,sanity|TC_SANITY_047,no,
60,Sanity,tests/sanity_tests.robot,TC_SANITY_048,Ticketing Page Loads With Grid,positive,sanity|TC_SANITY_048,no,
61,E2E Flow,tests/e2e_flow.robot,TC_E2E_001,Onboard EC And BU Account Via API,positive,regression|e2e|TC_E2E_001|positive,no,
62,E2E Flow,tests/e2e_flow.robot,TC_E2E_002,Verify Onboarded Account On UI,positive,regression|e2e|TC_E2E_002|positive,no,
63,E2E Flow,tests/e2e_flow.robot,TC_E2E_003,Create APN For Onboarded Account,positive,regression|e2e|TC_E2E_003|positive,no,
64,E2E Flow,tests/e2e_flow.robot,TC_E2E_004,Create CSR Journey For Onboarded Account,positive,regression|e2e|TC_E2E_004|positive,no,
65,E2E Flow,tests/e2e_flow.robot,TC_E2E_005,Create SIM Range With 10 ICCID IMSI,positive,regression|e2e|TC_E2E_005|positive,no,
66,E2E Flow,tests/e2e_flow.robot,TC_E2E_006,Create And Assign SIM Product Type,positive,regression|e2e|TC_E2E_006|positive,no,
67,E2E Flow,tests/e2e_flow.robot,TC_E2E_007,Expand EC And BU SIM Limits,positive,regression|e2e|TC_E2E_007|positive,no,
68,E2E Flow,tests/e2e_flow.robot,TC_E2E_008,Create SIM Order,positive,regression|e2e|TC_E2E_008|positive,no,
69,E2E Flow,tests/e2e_flow.robot,TC_E2E_009,Capture Order ID From Live Order Grid,positive,regression|e2e|TC_E2E_009|positive,no,
70,E2E Flow,tests/e2e_flow.robot,TC_E2E_010,Fetch EC And BU Account IDs From Database,positive,regression|e2e|TC_E2E_010|positive,no,
71,E2E Flow,tests/e2e_flow.robot,TC_E2E_011,Run Create Order Script On Server,positive,regression|e2e|TC_E2E_011|positive,no,
72,E2E Flow,tests/e2e_flow.robot,TC_E2E_012,Validate Order Status New To In Progress,positive,regression|e2e|TC_E2E_012|positive,no,
73,E2E Flow,tests/e2e_flow.robot,TC_E2E_013,Generate And Upload Response Files To Server,positive,regression|e2e|TC_E2E_013|positive,no,
74,E2E Flow,tests/e2e_flow.robot,TC_E2E_014,Run Read Order Script On Server,positive,regression|e2e|TC_E2E_014|positive,no,
75,E2E Flow,tests/e2e_flow.robot,TC_E2E_015,Validate Order Status In Progress To Completed,positive,regression|e2e|TC_E2E_015|positive,no,
76,E2E Flow,tests/e2e_flow.robot,TC_E2E_016,Validate SIMs In Warm State On Manage Devices,positive,regression|e2e|TC_E2E_016|positive,no,
77,E2E Flow,tests/e2e_flow.robot,TC_E2E_017,Update Order Status To Approved Via SOAP API,positive,regression|e2e|TC_E2E_017|positive,no,
78,E2E Flow,tests/e2e_flow.robot,TC_E2E_018,Activate 5 SIMs Via UI And Capture IMSIs,positive,regression|e2e|TC_E2E_018|positive,no,
78,E2E Flow,tests/e2e_flow.robot,TC_E2E_018A,Drive Activation Fingerprint SOAP Flow,positive,regression|e2e|TC_E2E_018A|positive,no,
78,E2E Flow,tests/e2e_flow.robot,TC_E2E_018B,Verify All SIMs Activated On UI,positive,regression|e2e|TC_E2E_018B|positive,no,
79,E2E Flow,tests/e2e_flow.robot,TC_E2E_019,Generate Invoice And Download CSV,positive,regression|e2e|TC_E2E_019|positive,no,
80,E2E Flow,tests/e2e_flow.robot,TC_E2E_020,Create Second CSR Journey With Different Plan,positive,regression|e2e|TC_E2E_020|positive,no,
81,E2E Flow,tests/e2e_flow.robot,TC_E2E_021,Perform Device Plan Change On One Activated SIM And Validate,positive,regression|e2e|TC_E2E_021|positive,no,
82,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_001,Onboard EC And BU Account Via API,positive,regression|e2e|TC_E2EU_001|positive,no,
83,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_002,Verify Onboarded Account On UI,positive,regression|e2e|TC_E2EU_002|positive,no,
84,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_003,Create APN For Onboarded Account,positive,regression|e2e|TC_E2EU_003|positive,no,
85,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_004,Create CSR Journey For Onboarded Account,positive,regression|e2e|TC_E2EU_004|positive,no,
86,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_005,Create SIM Range With 10 ICCID IMSI,positive,regression|e2e|TC_E2EU_005|positive,no,
87,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_006,Create And Assign SIM Product Type,positive,regression|e2e|TC_E2EU_006|positive,no,
88,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_007,Expand EC And BU SIM Limits,positive,regression|e2e|TC_E2EU_007|positive,no,
89,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_008,Create SIM Order,positive,regression|e2e|TC_E2EU_008|positive,no,
90,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_009,Capture Order ID From Live Order Grid,positive,regression|e2e|TC_E2EU_009|positive,no,
91,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_010,Fetch EC And BU Account IDs From Database,positive,regression|e2e|TC_E2EU_010|positive,no,
92,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_011,Run Create Order Script On Server,positive,regression|e2e|TC_E2EU_011|positive,no,
93,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_012,Validate Order Status New To In Progress,positive,regression|e2e|TC_E2EU_012|positive,no,
94,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_013,Generate And Upload Response Files To Server,positive,regression|e2e|TC_E2EU_013|positive,no,
95,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_014,Run Read Order Script On Server,positive,regression|e2e|TC_E2EU_014|positive,no,
96,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_015,Validate Order Status In Progress To Completed,positive,regression|e2e|TC_E2EU_015|positive,no,
97,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_016,Validate SIMs In Warm State On Manage Devices,positive,regression|e2e|TC_E2EU_016|positive,no,
98,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_017,Update Order Status To Approved Via SOAP API,positive,regression|e2e|TC_E2EU_017|positive,no,
99,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_018,Activate 5 SIMs Via UI And Capture IMSIs And MSISDNs,positive,regression|e2e|TC_E2EU_018|positive,no,
99,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_018A,Drive Activation Fingerprint SOAP Flow,positive,regression|e2e|TC_E2EU_018A|positive,no,
99,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_018B,Verify All SIMs Activated On UI,positive,regression|e2e|TC_E2EU_018B|positive,no,
100,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_019,Perform Usage For All Activated IMSIs,positive,regression|e2e|TC_E2EU_019|positive,no,
101,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_020,Validate Usage In UI For All IMSIs,positive,regression|e2e|TC_E2EU_020|positive,no,
102,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_021,Generate Invoice And Download CSV,positive,regression|e2e|TC_E2EU_021|positive,no,
103,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_022,Create Second CSR Journey With Different Plan,positive,regression|e2e|TC_E2EU_022|positive,no,
104,E2E Flow With Usage,tests/e2e_flow_with_usage.robot,TC_E2EU_023,Perform Device Plan Change On One Activated SIM And Validate,positive,regression|e2e|TC_E2EU_023|positive,no,
105,Role/User CRUD,tests/role_user_crud_tests.robot,TC_RUCRD_001,Create Role,positive,regression|TC_RUCRD_001|smoke|positive,no,
106,Role/User CRUD,tests/role_user_crud_tests.robot,TC_RUCRD_002,Delete Created Role,positive,regression|TC_RUCRD_002|smoke|positive,no,
107,Role/User CRUD,tests/role_user_crud_tests.robot,TC_RUCRD_003,Create User,positive,regression|TC_RUCRD_003|smoke|positive,no,
108,Role/User CRUD,tests/role_user_crud_tests.robot,TC_RUCRD_004,Delete Created User,positive,regression|TC_RUCRD_004|smoke|positive,no,
109,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_001,Create Customer And Billing Account With All Fields,positive,regression|onboard|TC_ONBOARD_001|smoke|positive,no,
110,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_002,Create Customer Without Optional UnifiedID,positive,regression|onboard|TC_ONBOARD_002|positive,no,
111,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_003,Create Customer Without Optional Address Lines 2 To 5,positive,regression|onboard|TC_ONBOARD_003|positive,no,
112,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_004,Create Customer Without Optional AlternateName,positive,regression|onboard|TC_ONBOARD_004|positive,no,
113,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_005,Create Customer Without Optional TechContactPersonMobile,positive,regression|onboard|TC_ONBOARD_005|positive,no,
114,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_006,Create Customer Without Optional TechContactPersonEmail,positive,regression|onboard|TC_ONBOARD_006|positive,no,
115,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_007,Create Customer Without Optional LeadPersonOrAccManagerID,positive,regression|onboard|TC_ONBOARD_007|positive,no,
116,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_008,Create Customer Without Optional Billing Address Lines 2 To 5,positive,regression|onboard|TC_ONBOARD_008|positive,no,
117,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_009,Create Customer With Only Mandatory Fields,positive,regression|onboard|TC_ONBOARD_009|positive,no,
118,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_010,Missing CustomerReferenceNumber Should Return Error,negative,regression|onboard|TC_ONBOARD_010|negative,no,
119,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_011,Missing CompanyName Should Return Error,negative,regression|onboard|TC_ONBOARD_011|negative,no,
120,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_012,Create Customer With Empty FirstName Should Succeed,positive,regression|onboard|TC_ONBOARD_012|positive,no,
121,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_013,Create Customer With Empty LastName Should Succeed,positive,regression|onboard|TC_ONBOARD_013|positive,no,
122,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_014,Missing IdentityNumber Should Return Error,negative,regression|onboard|TC_ONBOARD_014|negative,no,
123,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_015,Missing CustomerSegmentCode Should Return Error,negative,regression|onboard|TC_ONBOARD_015|negative,no,
124,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_016,Missing BusinessUnitName Should Return Error,negative,regression|onboard|TC_ONBOARD_016|negative,no,
125,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_017,Missing BillingAccountName Should Return Error,negative,regression|onboard|TC_ONBOARD_017|negative,no,
126,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_018,Missing BillingAccountNumber Should Return Error,negative,regression|onboard|TC_ONBOARD_018|negative,no,
127,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_019,Missing CustomerAddressLine1 Should Return Error,negative,regression|onboard|TC_ONBOARD_019|negative,no,
128,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_020,Missing CustomerCountry Should Return Error,negative,regression|onboard|TC_ONBOARD_020|negative,no,
129,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_021,Missing OrderNumber In Header Should Return Error,negative,regression|onboard|TC_ONBOARD_021|negative,no,
130,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_022,Missing TaskID In Header Should Return Error,negative,regression|onboard|TC_ONBOARD_022|negative,no,
131,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_023,Invalid CustomerSegmentCode Should Return Error,negative,regression|onboard|TC_ONBOARD_023|negative,no,
132,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_024,Invalid CustomerType Should Return Error,negative,regression|onboard|TC_ONBOARD_024|negative,no,
133,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_025,Invalid BillHierarchyFlag Should Return Error,negative,regression|onboard|TC_ONBOARD_025|negative,no,
134,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_026,Invalid BillingAccountStatus Should Return Error,negative,regression|onboard|TC_ONBOARD_026|negative,no,
135,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_027,Non Numeric MaxNumberIMSIs Still Returns Success,positive,regression|onboard|TC_ONBOARD_027|positive,no,
136,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_028,Invalid CustomerGenre Should Return Error,negative,regression|onboard|TC_ONBOARD_028|negative,no,
137,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_029,Invalid Category Should Return Error,negative,regression|onboard|TC_ONBOARD_029|negative,no,
138,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_030,Invalid Tech Contact Email Still Returns Success,negative,regression|onboard|TC_ONBOARD_030|negative,no,
139,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_033,Duplicate CustomerReferenceNumber Should Return Error,positive,regression|onboard|TC_ONBOARD_033|positive,no,
140,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_034,Malformed XML Body Should Return Error,positive,regression|onboard|TC_ONBOARD_034|positive,no,
141,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_035,Empty SOAP Body Should Return Error,positive,regression|onboard|TC_ONBOARD_035|positive,no,
142,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_036,Wrong SOAPAction Header Should Return Error,positive,regression|onboard|TC_ONBOARD_036|positive,no,
143,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_037,MaxNumberIMSIs Zero Should Return Error Or Accept,positive,regression|onboard|TC_ONBOARD_037|positive,no,
144,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_038,MaxSIMNumber Zero Should Return Error Or Accept,positive,regression|onboard|TC_ONBOARD_038|positive,no,
145,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_039,Negative MaxNumberIMSIs Should Return Error,negative,regression|onboard|TC_ONBOARD_039|negative,no,
146,Account Onboard,tests/onboard_customer_api_tests.robot,TC_ONBOARD_040,Special Characters In CompanyName,positive,regression|onboard|TC_ONBOARD_040|positive,no,
147,APN,tests/apn_tests.robot,TC_APN_001,Create Private APN With Static IPV4 Successfully,positive,regression|apn|TC_APN_001|smoke|positive,no,
148,APN,tests/apn_tests.robot,TC_APN_002,Create Public APN With Dynamic IPV4 Successfully,positive,regression|apn|TC_APN_002|positive,no,
149,APN,tests/apn_tests.robot,TC_APN_003,Create Private APN With IPV6 Successfully,positive,regression|apn|TC_APN_003|positive,no,
150,APN,tests/apn_tests.robot,TC_APN_004,Create APN With IPV4 And IPV6 Dual Stack Successfully,positive,regression|apn|TC_APN_004|positive,no,
151,APN,tests/apn_tests.robot,TC_APN_005,Create APN With Secondary Details,positive,regression|apn|TC_APN_005|positive,no,
152,APN,tests/apn_tests.robot,TC_APN_006,Create APN With QoS Details,positive,regression|apn|TC_APN_006|positive,no,
153,APN,tests/apn_tests.robot,TC_APN_007,Verify Create APN Page Elements Are Visible,positive,regression|apn|TC_APN_007|smoke|positive,no,
154,APN,tests/apn_tests.robot,TC_APN_008,Verify IP Allocation Type Appears After IP Address Type Selection,positive,regression|apn|TC_APN_008|positive,no,
155,APN,tests/apn_tests.robot,TC_APN_009,Verify Cancel Button Redirects To Manage APN,positive,regression|apn|TC_APN_009|positive,no,
156,APN,tests/apn_tests.robot,TC_APN_010,Submit With No Fields Filled Should Show Error,negative,regression|apn|TC_APN_010|negative,no,
157,APN,tests/apn_tests.robot,TC_APN_011,Missing APN Name Should Show Error,negative,regression|apn|TC_APN_011|negative,no,
158,APN,tests/apn_tests.robot,TC_APN_012,Missing APN ID Should Show Error,negative,regression|apn|TC_APN_012|negative,no,
159,APN,tests/apn_tests.robot,TC_APN_013,Missing APN Type Should Show Error,negative,regression|apn|TC_APN_013|negative,no,
160,APN,tests/apn_tests.robot,TC_APN_014,Missing IP Address Type Should Show Error,negative,regression|apn|TC_APN_014|negative,no,
161,APN,tests/apn_tests.robot,TC_APN_015,Missing IP Allocation Type Should Show Error,negative,regression|apn|TC_APN_015|negative,no,
162,APN,tests/apn_tests.robot,TC_APN_016,APN ID Exceeding 19 Digits Should Show Error,negative,regression|apn|TC_APN_016|negative,no,
163,APN,tests/apn_tests.robot,TC_APN_017,Duplicate APN Name Should Show Error,negative,regression|apn|TC_APN_017|negative,no,
164,APN,tests/apn_tests.robot,TC_APN_018,SQL Injection In APN Name Should Be Rejected,negative,regression|apn|TC_APN_018|negative,no,
165,APN,tests/apn_tests.robot,TC_APN_019,Special Characters In APN Name Should Be Rejected,negative,regression|apn|TC_APN_019|negative,no,
166,APN,tests/apn_tests.robot,TC_APN_020,HLR APN ID Exceeding 19 Digits Should Show Error,negative,regression|apn|TC_APN_020|negative,no,
167,APN,tests/apn_tests.robot,TC_APN_021,Direct Access To Create APN Without Login Should Redirect,negative,regression|apn|TC_APN_021|negative,no,
168,APN,tests/apn_tests.robot,TC_APN_022,Direct Access To Manage APN Without Login Should Redirect,negative,regression|apn|TC_APN_022|negative,no,
169,APN,tests/apn_tests.robot,TC_APN_023,Verify APN List Page Loads With Correct Columns,positive,regression|apn|TC_APN_023|positive,no,
170,APN,tests/apn_tests.robot,TC_APN_024,Verify Search Filters APN Records,positive,regression|apn|TC_APN_024|positive,no,
171,APN,tests/apn_tests.robot,TC_APN_025,Verify Pagination Controls Navigate Correctly,positive,regression|apn|TC_APN_025|positive,no,
172,APN,tests/apn_tests.robot,TC_APN_026,Verify CSV Export Downloads File,positive,regression|apn|TC_APN_026|positive,no,
173,APN,tests/apn_tests.robot,TC_APN_027,Verify Column Sorting Ascending And Descending,positive,regression|apn|TC_APN_027|positive,no,
174,APN,tests/apn_tests.robot,TC_APN_028,Verify Column Filter Applies And Clears Correctly,positive,regression|apn|TC_APN_028|positive,no,
175,APN,tests/apn_tests.robot,TC_APN_029,Verify APN Record Can Be Deleted,positive,regression|apn|TC_APN_029|positive,no,
176,APN,tests/apn_tests.robot,TC_APN_030,Verify Edit Icon Opens Pre-populated APN Form,positive,regression|apn|TC_APN_030|positive,no,
177,APN,tests/apn_tests.robot,TC_APN_031,Verify Create APN Button Navigates To Create Form,positive,regression|apn|TC_APN_031|positive,no,
178,APN,tests/apn_tests.robot,TC_APN_032,Verify APN Type Public Dropdown Options,positive,regression|apn|TC_APN_032|positive,no,
179,APN,tests/apn_tests.robot,TC_APN_033,Verify APN Type Private Dropdown With Account Options,positive,regression|apn|TC_APN_033|positive,no,
180,APN,tests/apn_tests.robot,TC_APN_034,Verify All IP Address Type Options Are Selectable,positive,regression|apn|TC_APN_034|positive,no,
181,APN,tests/apn_tests.robot,TC_APN_035,Verify All APN Service Type Options Are Selectable,positive,regression|apn|TC_APN_035|positive,no,
182,APN,tests/apn_tests.robot,TC_APN_036,Verify Roaming Toggle Can Be Enabled And Disabled,positive,regression|apn|TC_APN_036|positive,no,
183,APN,tests/apn_tests.robot,TC_APN_037,Verify Secondary Details Section Expands With Fields,positive,regression|apn|TC_APN_037|positive,no,
184,APN,tests/apn_tests.robot,TC_APN_038,Verify Quality Of Service Section Expands With Fields,positive,regression|apn|TC_APN_038|positive,no,
185,APN,tests/apn_tests.robot,TC_APN_039,Duplicate APN ID Should Show Error,negative,regression|apn|TC_APN_039|negative,no,
